Date,Open,High,Low,Close,Volume
23-May-17,2.60,2.60,2.34,2.37,130492
22-May-17,2.41,2.84,2.41,2.50,170064
19-May-17,2.29,2.40,2.29,2.40,155802
18-May-17,2.25,2.34,2.24,2.28,99668
16-May-17,2.33,2.45,2.33,2.43,80211
15-May-17,2.38,2.41,2.33,2.33,81310
12-May-17,2.45,3.20,2.28,2.33,80343
11-May-17,2.37,2.45,2.37,2.44,60112
10-May-17,2.30,2.37,2.30,2.37,70400
9-May-17,2.38,2.41,2.27,2.28,104981
8-May-17,2.19,2.39,2.13,2.37,126426
5-May-17,2.07,2.22,2.06,2.21,66241
4-May-17,2.14,2.14,2.06,2.08,73350
3-May-17,2.15,2.16,2.12,2.12,21632
2-May-17,2.14,2.17,2.10,2.13,32464
1-May-17,2.20,2.20,2.14,2.14,25000
28-Apr-17,2.28,2.28,2.13,2.18,78796
27-Apr-17,2.25,2.28,2.25,2.26,116394
26-Apr-17,2.28,2.31,2.25,2.27,42826
25-Apr-17,2.32,2.32,2.25,2.30,48399
24-Apr-17,2.30,2.33,2.28,2.29,129854
21-Apr-17,2.31,2.32,2.28,2.31,37050
20-Apr-17,2.37,2.37,2.30,2.32,23130
19-Apr-17,2.39,2.39,2.31,2.31,32458
18-Apr-17,2.41,2.41,2.37,2.40,50655
17-Apr-17,2.41,2.41,2.37,2.41,55006
13-Apr-17,2.47,2.48,2.40,2.41,40140
12-Apr-17,2.55,2.55,2.47,2.48,32876
11-Apr-17,2.60,2.64,2.54,2.56,80952
10-Apr-17,2.40,2.63,2.40,2.60,132618
7-Apr-17,2.38,2.41,2.38,2.40,32987
6-Apr-17,2.32,2.35,2.32,2.35,21450
5-Apr-17,2.32,2.43,2.32,2.36,25591
4-Apr-17,2.40,2.40,2.32,2.32,17250
3-Apr-17,2.37,2.39,2.32,2.35,76410
31-Mar-17,2.40,2.40,2.34,2.35,9252
30-Mar-17,2.38,2.40,2.30,2.35,94309
29-Mar-17,2.42,2.46,2.35,2.35,108892
28-Mar-17,2.36,2.40,2.34,2.38,61180
27-Mar-17,2.35,2.37,2.30,2.34,29909
24-Mar-17,2.35,2.37,2.32,2.35,23412
23-Mar-17,2.35,2.39,2.32,2.33,27334
22-Mar-17,2.42,2.42,2.28,2.37,96833
21-Mar-17,2.55,2.56,2.41,2.44,74414
20-Mar-17,2.65,2.76,2.56,2.56,84471
17-Mar-17,2.69,2.70,2.59,2.61,96737
16-Mar-17,2.58,2.64,2.53,2.62,113452
15-Mar-17,2.46,2.58,2.46,2.51,45784
14-Mar-17,2.54,2.54,2.44,2.44,19541
13-Mar-17,2.47,2.57,2.47,2.52,31887
10-Mar-17,2.44,2.48,2.42,2.47,31114
9-Mar-17,2.50,2.56,2.39,2.43,61382
8-Mar-17,2.68,2.73,2.50,2.51,67897
7-Mar-17,2.42,2.67,2.40,2.67,94061
6-Mar-17,2.44,2.61,2.25,2.42,524132
3-Mar-17,2.75,2.80,2.65,2.67,308442
2-Mar-17,2.95,2.95,2.81,2.83,95749
1-Mar-17,2.81,2.94,2.81,2.94,173141
28-Feb-17,3.05,3.05,2.85,2.87,144972
27-Feb-17,2.91,3.09,2.84,3.05,232807
24-Feb-17,2.91,2.98,2.69,2.94,393618
23-Feb-17,3.03,3.08,2.96,2.97,101838
22-Feb-17,3.01,3.03,2.98,3.02,66050
21-Feb-17,3.11,3.11,2.93,3.04,253199
17-Feb-17,2.98,3.12,2.98,3.09,56487
16-Feb-17,3.05,3.05,2.93,2.96,208796
15-Feb-17,3.19,3.20,3.00,3.11,154064
14-Feb-17,3.26,3.40,3.18,3.18,236948
13-Feb-17,3.01,3.20,3.00,3.20,136827
10-Feb-17,2.97,3.04,2.91,3.02,108565
9-Feb-17,2.85,2.87,2.82,2.86,153314
8-Feb-17,2.71,2.84,2.71,2.81,28658
7-Feb-17,2.55,2.72,2.54,2.66,62970
6-Feb-17,2.50,2.62,2.50,2.57,49599
3-Feb-17,2.59,2.62,2.58,2.59,39918
2-Feb-17,2.58,2.63,2.58,2.60,78976
1-Feb-17,2.64,2.69,2.52,2.60,143732
